# Wordlist

# DATA
ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	DOCULECT	LANGUAGE_IN_SOURCE	OID	ORDER	COUNTERPART	POS	PT_GLOSS	REFERENCE	SENSE_ID
8	capybara	2014-04-08T13:25:22Z	2014-04-20T17:08:52Z	capybara	awán	06135da9-22e8-49e7-8377-905c29bb2a39	trz	trz	awan_06135da9-22e8-49e7-8377-905c29bb2a39		awan		capivara		f6756a74-d214-4c59-9002-5becf9f04d0a
#
222	caripúna	2014-04-07T17:32:10Z	2014-04-20T17:07:47Z	caripúna	karihuná	ce1d00b2-6fb6-49da-83ca-523123343ec3	trz	trz	karihuna_ce1d00b2-6fb6-49da-83ca-523123343ec3		karihuna		caripúna		8949cff9-7695-4b4e-961a-e53aecfd4579
#
125	cará	2014-04-08T15:51:49Z	2014-04-20T17:08:16Z	cará	piru̥	6d70c081-4764-455b-b58b-ed245a5be5b4	trz	trz	piry_6d70c081-4764-455b-b58b-ed245a5be5b4		piry		cará		021e54fd-59b2-4c52-a1ee-e749558ffb55
#
9	catfish	2014-04-08T14:46:31Z	2014-04-20T17:06:58Z	catfish	orokotá	063984c4-d827-40c0-b0d9-5a212270b936	trz	trz	orokota_063984c4-d827-40c0-b0d9-5a212270b936		orokota		suruby		d8ad4248-b672-41e6-9dbf-9ca196dc8cc9
#
59	chameleon	2014-04-08T14:31:50Z	2014-04-20T17:06:39Z	chameleon	sįnįmį̄	31c7b812-357b-4cfb-b5e0-540d25d9b526	trz	trz	si&apos;ni&apos;mi&apos;_31c7b812-357b-4cfb-b5e0-540d25d9b526		si'ni'mi'		camelão		88327cd2-e92a-45ff-8fbb-0de2a353fcf4
#
255	chest	2014-04-23T13:36:26Z	2014-04-23T13:37:16Z	chest	ikimã	e7e142c0-2ab4-4d0b-80db-572487a01ac2	trz	en	ikima_e7e142c0-2ab4-4d0b-80db-572487a01ac2		ikima		peito		ad909886-11ba-4e40-9ad0-dc0cceb7a23a
261	chest	2014-04-06T16:24:13Z	2014-04-20T17:05:58Z	chest	įkįbm	ef9cc702-d6b5-4b97-a98d-5fe0dc208c53	trz	trz	i&apos;ki&apos;m_ef9cc702-d6b5-4b97-a98d-5fe0dc208c53		i'ki'm		peito		dd7236cd-d38b-49fb-ae54-53e58bac241c
#
220	chicken	2014-04-08T13:46:07Z	2014-04-20T17:05:35Z	chicken	patërí	cc1baaf6-5006-4f8b-a9e5-de5a96d9b4ca	trz	trz	pateri_cc1baaf6-5006-4f8b-a9e5-de5a96d9b4ca		pateri		galinha		b54706e8-d43c-41a2-b331-8bc0303227f5
#
269	cichla	2014-04-08T14:50:40Z	2014-04-20T17:05:17Z	cichla	parirá	f70ec555-6afa-46c1-bfc8-12c5eda6b4ee	trz	trz	parira_f70ec555-6afa-46c1-bfc8-12c5eda6b4ee		parira		tucunaré		dc90f5fa-a571-4ce9-8b9b-c54b887da26c
#
226	cloth	2014-04-07T16:45:14Z	2014-12-07T17:36:11Z	cloth	hu̥į́	d1b95c55-ad34-4e42-8aa4-eb9f27751bc4	trz	trz	hyi&apos;_d1b95c55-ad34-4e42-8aa4-eb9f27751bc4		hyi'		pano		463de8a6-2c19-408d-bbd4-1dadd6565fc2" order="1
#
106	cloud	2014-04-06T19:51:29Z	2014-04-20T17:03:55Z	cloud	tuaayí	597fae7e-8cfd-4324-8719-37cb61a58831	trz	trz	tuaaji_597fae7e-8cfd-4324-8719-37cb61a58831		tuaaji		nuvem		82788044-67af-4379-920a-12653fba7844
#
177	coal	2014-04-06T19:42:13Z	2014-04-20T17:03:35Z	coal	tayídn	9ec6ef39-8875-4123-9c24-295c7e2fe567	trz	trz	tajin_9ec6ef39-8875-4123-9c24-295c7e2fe567		tajin		carvão		1089a427-2392-44ab-9911-29cd0339424b
#
158	cold	2014-04-25T14:49:08Z	2014-04-25T14:50:11Z	cold	šiuni	8c1511fa-7004-4c67-9a3c-18e01dfd568f	trz	en	xiuni_8c1511fa-7004-4c67-9a3c-18e01dfd568f		xiuni		frio		8606bba0-5386-47b7-affc-f15e5c81846d
#
102	comb	2014-04-06T20:24:11Z	2014-04-20T17:03:18Z	comb	pičáp	57019832-2477-45f6-b896-3f8431b5fe6f	trz	trz	pitxap_57019832-2477-45f6-b896-3f8431b5fe6f		pitxap		pente		577074e3-a1bd-486f-b341-4cdec0c86979
#
137	corn	2014-04-08T15:06:31Z	2014-04-20T17:02:30Z	corn	mapák	752af7af-55d3-414a-a275-c83da9584d5d	trz	trz	mapak_752af7af-55d3-414a-a275-c83da9584d5d		mapak		milho		8d315edc-5502-4f44-bf1e-fd6f3ab45a37
#
228	cotton	2014-04-08T15:50:32Z	2014-04-20T17:02:05Z	cotton	om	d1bebf7d-b6bc-494b-a007-95da0b912303	trz	trz	om_d1bebf7d-b6bc-494b-a007-95da0b912303		om		algodão		edb2ae70-d4ed-4a2b-a30e-f381a3812579
#
11	countryside	2014-04-08T15:44:35Z	2014-04-20T17:01:00Z	countryside	takurá	07bb511f-215c-465d-852d-c1131d43241e	trz	trz	takura_07bb511f-215c-465d-852d-c1131d43241e		takura		campo		b3996662-6cb4-4762-8fd9-6bd6f073ba94
#
31	cousin	2014-04-07T18:18:56Z	2014-04-20T16:59:02Z	cousin	viti	1398b604-cdff-4b36-a2fe-a34d24c86a53	trz	trz	viti1_1398b604-cdff-4b36-a2fe-a34d24c86a53	1	viti		primo		f90cbee6-5fed-4582-ab0f-e5df84b2c115
#
191	cujubim	2014-04-08T13:57:46Z	2014-04-20T16:58:17Z	cujubim	pihún	b2c9a57b-e4fe-4e17-83dd-c377f3b5bd4a	trz	trz	pihun_b2c9a57b-e4fe-4e17-83dd-c377f3b5bd4a		pihun		cujubim		04876016-da85-4210-a05c-005f49c7191d
#
216	daughter	2014-04-07T17:47:11Z	2014-12-07T17:39:13Z	daughter	irató	c91ef62c-738a-421b-b8e0-62339f4d1ba3	trz	trz	irató_c91ef62c-738a-421b-b8e0-62339f4d1ba3		irató		filha		f4e49830-619e-42ed-88e6-c3590a815700" order="1
#
44	day	2014-04-06T19:52:53Z	2014-04-20T16:57:21Z	day	anapat	1f4a90a5-283e-4ce4-8faa-3a6e0e58e536	trz	trz	anapat_1f4a90a5-283e-4ce4-8faa-3a6e0e58e536		anapat		dia		69b6916f-1fd1-453b-8690-c2d1af9a0bdb
#
121	defunct	2014-04-07T19:03:45Z	2014-04-20T16:56:28Z	defunct	kunáī	66794e9c-9736-4132-b6fb-844fa8b6eecb	trz	trz	kunái_66794e9c-9736-4132-b6fb-844fa8b6eecb		kunái		defunto		14a91612-2cae-4f80-a7fc-331f4900969a
#
238	diadem of feathers	2014-04-07T16:49:12Z	2014-04-20T16:56:04Z	diadem of feathers	mįyní	d99c61ab-4ba1-418b-96c4-c9a676497298	trz	trz	mi&apos;jni_d99c61ab-4ba1-418b-96c4-c9a676497298		mi'jni		diadema de penas		934cb080-525b-4dad-94e9-7d05bc6d98ed
#
63	dog	2014-04-25T14:06:14Z	2014-04-25T14:08:01Z	dog	ki̩nám	354d246e-8bf3-4731-9c45-2190158191c3	trz	en	ki&apos;nam_354d246e-8bf3-4731-9c45-2190158191c3		ki'nam		cachorro		0ccfbdfc-6ddc-4525-b33f-afdfa5b86a4d
#
